feature_name,rf_importance,rank,feature_group
Asthma_I_R_mean,0.616340481268531,1,gis
CVI_mean,0.24633336564283687,2,gis
trauma_max_intensity,0.10177969227591319,3,trauma
trivariate_canopy,0.006615012736342847,4,gis
nearest_hospital_m,0.005072102598979293,5,facilities
trauma_exact_count,0.004402530806671102,6,trauma
dist_to_cbe_m,0.003959826527767253,7,distance
trauma_noise_density,0.003557947268027807,8,trauma
facilities_500m,0.0028042459030354658,9,facilities
trauma_air_density,0.002516015533137227,10,trauma
nearest_school_m,0.0024806026870389493,11,facilities
zone_dist_int,0.0011450835307080822,12,zoning
canopy_pct,0.0004371716605649827,13,gis
vegetation_ratio,0.0004153908179655536,14,cv
trauma_displacement_density,0.000362159263084655,15,trauma
min_sky_ratio,0.0003340978879308377,16,cv
mean_enclosure,0.00031841361197016327,17,cv
trivariate_hds,0.0003160506626101143,18,gis
mean_sky_ratio,0.0003085435772676868,19,cv
frame_count,0.0002370133256392839,20,cv
hds_score,0.00012385767714694513,21,gis
trauma_health_density,0.00012348044815583544,22,trauma
concrete_ratio,1.6914288674887567e-05,23,cv
in_trivariate_zone,0.0,24,gis
canyon_ar,0.0,25,cv
sky_ratio,0.0,26,cv
