id,sky,wall,lat,lon
162389862413725,0.4088,0.0,40.83078602,-73.8507305
121946143258059,0.3458,0.0,40.830862,-73.850749
226782092112463,0.2099,0.0041,40.831125,-73.851262
1142740989577262,0.1622,0.0543,40.835388728719,-73.867825499456
1209648029508702,0.2852,0.0359,40.835581202326,-73.868199344935
220536369542307,0.1935,0.0618,40.835442324721,-73.868193349245
1095882750820200,0.3499,0.1488,40.82493923129,-73.868336091505
1111593285991872,0.4012,0.07,40.824969495866,-73.867905647201
1106127489795573,0.302,0.074,40.82494122,-73.868318705422
1090954608054353,0.05,0.0391,40.828344716672,-73.844933960357
183567823644509,0.1426,0.0149,40.828352967527,-73.844895263628
109719027871085,0.0428,0.2023,40.844763759097,-73.905037913962
207154094400111,0.1586,0.0,40.821321463327,-73.817155212134
1084268568732988,0.1731,0.0015,40.821541360559,-73.81774329238
113486900811608,0.3653,0.0146,40.804972346302,-73.925617168154
1001655267039552,0.3689,0.0267,40.805520017348,-73.925486977767
1020349352105500,0.3689,0.012,40.804965526028,-73.925656112662
202343238396657,0.0024,0.1103,40.825950960764,-73.828461882533
2900717100147403,0.3334,0.0669,40.831452796951,-73.830868881397
3110293782531492,0.3342,0.0498,40.831470187209,-73.830840402353
280227567131492,0.5469,0.0,40.831363,-73.830782
1137995333364764,0.0,0.0938,40.828930497804,-73.840664269661
1651121356323417,0.5011,0.0384,40.82931561446,-73.841210933245
1148638415611517,0.1227,0.0321,40.828678,-73.840739
2918353321767391,0.2638,0.1457,40.835776,-73.86963
323953822655696,0.3149,0.1033,40.835747036357,-73.869426429211
199959151842888,0.203,0.0656,40.835718019658,-73.869167132862
1450781565276626,0.1101,0.137,40.844858570722,-73.920536281974
135030315342652,0.1036,0.0015,40.844843358963,-73.920092812654
1333671127016822,0.0254,0.0024,40.844879338649,-73.920308584673
1524214267927664,0.2341,0.0039,40.826067821986,-73.82927283941
121105776693634,0.3053,0.0216,40.826211084239,-73.829089522525
1014964419331996,0.4409,0.0303,40.844195965302,-73.898749465161
1021883915281416,0.2843,0.085,40.844153009978,-73.899197790078
1286803768388505,0.1138,0.0004,40.803536517203,-73.915039907191
1127653851068132,0.1357,0.0241,40.803465497521,-73.915007113542
4653691574659991,0.3548,0.0199,40.803260306357,-73.914662947992
1134050047063328,0.397,0.0492,40.805224905273,-73.910756865723
1094257310985195,0.4173,0.0047,40.805249205091,-73.910694892295
1339057386479816,0.2561,0.2374,40.805058650441,-73.910649460823
1051282128972864,0.3908,0.0096,40.813560199227,-73.897273520516
1105330513293459,0.3486,0.0389,40.813542891387,-73.897405548288
116513970512208,0.0005,0.1728,40.803529885643,-73.914023169093
1087552581772702,0.0639,0.1151,40.849017039396,-73.827284533762
1124734541372712,0.1464,0.0483,40.837989754103,-73.881713656378
1184061455400910,0.1565,0.1643,40.838201776496,-73.882116533078
1115367832293702,0.2638,0.04,40.838171371123,-73.881931214319
168581851862643,0.1816,0.0769,40.827345612733,-73.885968394792
152234886914560,0.1908,0.0334,40.827261883274,-73.885983616395
179475027409080,0.2104,0.0957,40.827239399614,-73.885981670692
153570273399083,0.2336,0.1422,40.83561063457,-73.868841521154
153504723337326,0.221,0.0206,40.835495565916,-73.868424606164
1720108291524645,0.1094,0.0825,40.835631081431,-73.868813294617
2285818108601882,0.0435,0.0,40.852567954007,-73.827704112838
4125547197715225,0.0599,0.0,40.852514724625,-73.827213486056
1086788879899212,0.0568,0.0006,40.852514724625,-73.827213486056
1050223685516348,0.2724,0.0951,40.824679190228,-73.824238037893
380489239926422,0.3248,0.1119,40.82470410019,-73.824257990211
173995301290430,0.4514,0.1221,40.80506,-73.910934
1142496539552963,0.4358,0.1425,40.805128754608,-73.910871165554
1119050088570816,0.3833,0.0018,40.831804,-73.8542
154868153181790,0.2948,0.0069,40.831965,-73.854243
1008264423037930,0.2916,0.023,40.812091683941,-73.899357042383
106712298174613,0.5216,0.0042,40.812039854669,-73.899344902392
1074108867377869,0.1759,0.0966,40.812246842516,-73.899421250556
154307203329963,0.1725,0.0106,40.803474302821,-73.914886142872
308604380855399,0.2374,0.0065,40.839210309646,-73.88663139124
350195690054268,0.0402,0.0,40.807257228728,-73.908519270108
1173216626437645,0.0029,0.0008,40.8069038025,-73.908067393714
4359500727605402,0.0855,0.0,40.852504796919,-73.827799061784
1269900653482815,0.3931,0.0,40.830678330084,-73.885319151908
